AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
vision, beatific	榮福直觀。詳見 beatific vision 。 
vision, mystical	神見；神示；神視；異象；直觀指人祈禱時，突然由內心浮現的某種形像或知覺，感覺與天主近在咫尺。 
visit, pastoral	牧靈訪問。 
visit ad limina (L.)	述職教區主教每五年應赴教廷晉見教宗述職；詳見 ad limina 。 
visit to the Blessed Sacrament	（朝）拜聖體到供有耶穌聖體的教堂，去朝拜聖體，與耶穌密談。 
visitation	視察教會上司，如主教、會長有視察轄區和部屬之權利和義務。 
visitation, episcopal	主教視察主教依法典要求，須視察其轄區的各個堂區和機構(396)。 
Visitation of the Blessed Virgin	聖母訪親；聖母探親（往見）聖母得知其表姐麗莎懷孕後，立即前往探視，共謝主恩；慶辰在五月卅一日。 
visitor, apostolic	宗座視察員代表教宗（廷）視察教區或修會的專員。 
vitandus (L.)	應回避者；拒絕往來者；被公開除名的教友指惡名昭彰的教友，應儘量避免與之交往，恐受其惡行感染，但其教會成員身分未被剝奪。新法典中此罰似已不存在，多以禁止或剝奪（某些公權）所取代。 
vocal prayer	口禱；念出聲的祈禱以別於 mental prayer 心禱。 
vocation, Christian	聖召；神召；神命；使命基督召喚人時，要人聽從祂、跟隨祂、師法祂，進而變成祂的肖像，並宣揚救恩的喜訊就廣義而言，指每位教友（生活中）個別的機遇和工作，都可說是天主的召喚和考驗，亦即每件事－除了罪過以外，都可與天主聖意相調和。就狹義而言，指蒙天主召選願意獻身於教會者，如作神父、修女等。 
vocation to the priesthood	司鐸聖召蒙天主召選去作神父。 
vocation to the religious life	修會聖召蒙天主召選加入教會的信仰團體（修會），度修會團體獻身生活，以特殊方式（三願）為教會和人類服務。 
votum (L.)	誓願。同 vow 。 
votive Mass	還願彌撒；隨意彌撒；任選彌撒；特別敬禮彌撒。 
vow	許願；誓願；願是向天主慎重而自由地所做之承諾，以虔敬的態度去實踐一件可行、而更好的善事（法典 1191)。最傳統的、團體性的許願通常指修會會士所矢發的貞潔（獨身）、貧窮（神貧）、服從（聽命）三聖願；其他多針對私人許下做某個別善功。 
vow, dispensation from a	豁（寬）免守願許願後因無法、或不願實踐誓願（約）時，可經由教會主管解除之。 
vow, private	私願；私人誓願個人私下向天主所許諾的誓願（約）。與公願相對照。 
vow, public	公願；公開誓願信友在教會見證下，向天主許諾的誓願（約）。與私願相對照。 
vow, to make a	許願；發願向天主宣誓遵守某善行。 
vow of stability	心願指心不變的誓願。 
vows, final	終身願；大願；永願；末願修士或修女（在暫願期滿時）向天主宣誓，承諾信守終身的三個聖願。 
vows, first	初願；小願通常以一年到三年為期的過渡性三聖願。 
vows, perpetual	終身願；永願；末願；大願。同 final vows 。 
vows, simple	簡願；簡式誓願泛指一般後起（非古老）的修會所矢發的願，實質上與古老修會所矢發的顯願無異。 
vows, solemn	顯願；盛式誓願泛指一般古老的修會所矢發的願，實質上與新興修會所矢發的簡願相同。 
vows, temporary	暫願；小願；有期誓願指有期限、過渡性的聖願，如一年、三年等。 
vows of religion	修會聖願指男、女會士所矢發的貞潔、貧窮、服從三個誓願。 
vox populi vox Dei (L.)	民意即天意亦即民眾的聲音就是天主的聲音；為古老的格言。 
V.T.	舊約；古經乃拉丁文 Vetus Testamentum 的縮寫。 
Vulgate, the	拉丁聖經通俗本（聖經）指從西元 382 到 405 年間由聖業樂 St. Jerome 所譯成的拉丁文聖經。拉丁文稱作 Vulgata ，簡稱 Vg. 。 
wafer bread	 面餅；祭餅西方禮彌撒中所用之無酵薄祭餅，與東方禮所用之發酵麵包相對照。 wafer bread 又稱 altar bread 。 
wages of sin	 罪的代價；罪的報應。 
wake	 (1) 覺醒；警覺；醒悟。 (2) 守夜慶節前夕的祈禱或敬禮活動。 (3) 守靈；陪靈祈禱出殯前教友在靈前之（弔唁）敬禮和祈禱。 
washing of feet	 洗足禮；濯足禮為旅客洗足原是古代東方風俗，耶穌受難前夕曾為十二位宗徒洗腳，有些教會上司追隨基督芳蹤，于主建立聖體日也為屬下舉行洗足禮。 
watcher	 朝拜聖體者；陪伴聖體者明供聖體時前來朝拜聖體的信友。 
water	水象徵清潔、純正。教會 (1) 在彌撒中將一滴水注入葡萄酒內，之後被祝聖為基督聖血，象徵天主取了我們的人性，願我們也分享基督的天主性。 (2) 使用聖水為人授洗。 (3) 使用祝聖過的聖水降福聖堂、房屋等。 
water, blessing of	 祝聖聖水通常在聖週六復活前夕禮儀中祝聖聖水。 
water, holy	 聖水；祝聖過的水通常置於聖堂入口處，教友沾聖水畫十字以求淨化心靈。有時彌撒開始前，先舉行灑（撒）聖水禮。 
Way of the Cross	 十字苦路；十字架的道路；十四處苦路；苦路經紀念耶穌受難途中所歷經之十四項事蹟。拜苦路經為天主教（隆重）祈禱之一，源於第十五世紀，由方濟會大力推廣。拉丁文稱為 Via Crucis 。參閱 Stations of the Cross 。 
Way of the Cross, Perform the	 拜苦路四旬期教友通常（在星期五）集體拜苦路；私人或團體皆可隨時拜苦路，與主共患難。 
WCC	 普世基督教協會。是 World Council of Churches 的縮寫。 
Wednesday	 星期三（禮拜三）；瞻禮四。 
Wednesday, Ash	 聖灰禮儀星期三指紀念耶穌受苦受難的四旬期開始，在星期三舉行聖灰禮儀儀式－在額頭上敷以聖灰，提醒教友「人原來是土，將來仍要歸於灰土」（創三 19)，或「你們要悔改，信從福音！」（瑪一 15)。 
Week, Holy	 聖周；聖主日；大主日復活前的一個星期，從週一到復活主日，紀念耶穌在世最後一周的事蹟，主要包括主建立聖體、主受難、耶穌復活等。 
Western Church, the	 西方基督教會；西歐天主教；拉丁禮（儀）教會以拉丁文為教會語言、隸屬于教宗的天主教會。與東方禮（儀）教會相對照，東方禮天主教雖然禮儀和語言有所不同，但仍隸屬同一教宗，同為一個天主教會。 
Westminster Confession	 威斯敏斯特信條為普世英語長老會信徒所接納的基本信仰。 
White Fathers	 白衣神父在非洲傳教的修會成員， 1868 年由拉威熱(Lavigerie)樞機創立，因其會服為白色而得名，原名 Society of Missionaries of Africa 。簡稱 S.M.A. 。 
White Sisters	 白衣修女在非洲傳教的修女會成員， 1869 年創立，因其會服為白色而得名。 
Whitsunday	 聖神降臨主日耶穌復活後第七個星期天慶祝聖神降臨，乃英國名稱，又稱白衣主日 White Sunday ，因當天領洗者都穿白衣之故。同 Pentecost 。 
will, divine	 天主的聖意（旨）；天主的安排舊約指天主的忠告、恩惠、渴望；新約指天主救人的永恆計畫。 
will of God, to accomplish the	 奉（承）行天主聖意；順從天主的安排指奉行天父在基督內所定的救恩計畫。在日常生活中，不斷探討及分辨天主的旨意，之後採取行動，予以實踐。耶穌所傳授的天主經內指示「願（天主）的旨意奉行在人間，如同在天上」。 
wimple	 頭巾指今日修女的頭巾，原為中世紀時歐洲婦女所用之頭巾。 
Window Press	 聞道出版社社址在台南，全名是 Catholic Window Press 。 
wine, altar	 彌撒酒彌撒中為祝聖耶穌聖血所用的（特製）純葡萄酒。 
wisdom	 (1) 智慧指從宇宙整體層面看事物的最後目的之特殊知識。 (2) 古聖先賢之格言。 (3) 上智指在生活與言行上的正確判斷，乃聖神七恩之一。 
Wisdom, Book of	 智慧篇（書）舊約之一，寫於西元前第二世紀初，作者不詳，書中將自己的訓誨、教導歸功於「智王」撒羅滿，旨在安慰並堅固僑居海外的猶太同胞。 
wisdom of God	 天主的上智天主屬性之一。 
witness	 (1) 見證；證人；證明基督徒的見證是以信仰眼光所體會到的寶貴經驗，包括以言語、行動甚至以生命去證實自己所信仰的真理。 (2) 見證月刊臺灣天主教牧靈中心發行。 
Word	 道；聖言指天主聖三的第二位聖子，亦即降生成人的耶穌基督（若一 1-18)。同拉丁文之 Verbum 。 
Word of God	 聖言；天主聖言指天主的一切聖訓，首先是聖經（尤其指福音），然後是教會的宣講。狹義的聖言指耶穌基督。 
work	 工作工作不僅可以維持生計，而且也能發揮人的智慧及潛能。是義務，也是權利；有痛苦，也有樂趣；利己，也利人；改善今生，也營造天國。人類經由工作得以繼續發展造物主的工程，實現天主的計畫。 
works of mercy, corporal	 有形哀矜（施捨）；物質援助（佈施）；慈善工作按昔日要理問答記載共七項食饑者、飲渴者、衣裸者、探病者、舍旅者、贖擄者、葬死者（參閱瑪廿五 31-46)。 
works of mercy, spiritual	 神哀矜（施捨）；精神援助（佈施）如祈禱、克苦等；按昔日要理問答記載共七項以善勸人、啟誨愚者、責有過者、赦侮我者、恕人醜行、為生者祈（禱）、為死者祈（禱）。 
World Communication Day	 世界傳播日 1967 年教宗保祿六世宣佈每年耶穌升天節至聖神降臨節之間的主日為世界大眾傳播日。 
World Council of Churches	 普世（世界）基督教協會；普世教協 1948 年開始的基督教聯合組織，按照聖經承認主基督是上帝、救主，應榮耀唯一的上帝、救主。不再為教會的本質訂定精確的定義。簡稱 WCC 。 
world view	 世界觀；宇宙觀指宇宙本身的終極根源之意義與目的。可分為有神論、一神論、泛神論、無神論等。 
worship　	 崇敬；敬禮天主；朝拜；禮拜；崇拜；崇拜儀式（禮儀）乃承認天主無限美善的最高敬意表示。有時 worship 之前加一 divine 字。 
worship, ancestor　	 祖先崇拜；祭祖；敬祖是中國五千年的文化傳統，基於靈魂不死的信念，是對祖先懷念、感恩、盡孝的表現。天主教贊成祭祖，只是對祭祖儀式是否含有迷信成分曾一度意見分歧，因而發生所謂中國禮儀之爭，現早已雨過天青。詳見 Chinese Rite Controversy 。 
Wounds, the five Sacred	 五傷耶穌被釘在十字架時，身上共有五處傷口，即雙手、雙足及肋旁。 
wrath of God	 天譴；神怒；天主的義（憤）怒。 
Wreath, Advent	 將臨期花環指在將臨期，置於教堂或家中的花環，每週點燃一枝蠟燭，以迎接聖誕，詳見 Advent Wreath 。 
Wycliffites	威克夫教派乃英國宗教改革者威克夫 John Wycliffe (1320-1384)所創。 
Xaverian Brothers	聖方濟．薩威會。乃 1839 年創立於比利時的傳教修會，原名 The Congregation of the Brothers of St.Francis Xavier 。拉丁文稱作 Societas Xaveriana ，簡稱 S.X. 。 
XP (Gr.)	基督為基督希臘文之前兩字母，詳見 Chi-Rho 。
Yahweh (Heb.)	雅威（瑋）；上主；耶和華（基）。是舊約以色列人對造物主、最高主宰、天主、上帝的稱呼。由 YHWH 四個希伯來子音字母組成，同 Jahveh 。
year, ecclesiastical	教會年（日）曆；禮儀年比一般的年曆約早一個月，從耶誕節前四周之將臨期開始，詳列全年教會的各個節慶和節期，作為教會舉行彌撒、日課及禮儀的指南。 
year, liturgical	教會年（日）曆。同 year, ecclesiastical 。 
year, sabbatical	安息年；休假年源自猶太人每七年就休耕並緩債一年（參閱肋廿五章）。 
Yehowah （基）	耶和華；雅威；上主基督教多用耶和華，天主教多用上主。同 Yahweh 。 
YHWH	雅威。同 Yehowah 或 Yahweh 。 
Young Christian Students	天主教青年學生會簡稱 Y.C.S. 。 
Young Christian Workers	天主教職工青年會 1925 年由賈爾定(Cardijn)樞機創立于比國。簡稱 Y.C.W. 。臺灣有分會，並出版天主教職工青年通訊。 
Young Churches	新興教會；後進教會指第三世界的教會。 
Young Men's Christian Association	基督教男青年會由奧人喬治．威廉 George Williams (1821-1905)於 1844 年所創立的團體。簡稱 Y.M.C.A. 。臺灣有分會。 
Young Women's Christian Association	基督教女青年會由勞巴茲(E. Robarts)于 1855 年所成立，簡稱 Y.W.C.A. 。臺灣有分會。 
Yule	耶誕節；聖誕期古時對耶誕節的稱呼。 
Yule-tide	耶誕節。與 Yule 同意。
Zachary, Book of	匝加利亞書；撒迦利亞書（基）。舊約先知書之一；先知在該書的前編（一至八章）勸百姓改惡遷善，後編（九至十四章）描述征服敵人後，那位和平的君王（默西亞－彌賽亞）要凱旋地建立普世的王國。亦稱 Zachariah 或 Zacharias 。
